id	name	birth_date	sex	mother_name
ID_L_002524	DAIONARA APOLINARIO PADILHA	1986-05-04	F	DARCIANE NASCIMENTO APOLINARIO
ID_noise_000959	ALBERICA MARQUES CASTRO	2001-12-27	F	GILLANE MARTINS MARQUES
ID_noise_000229	FRANCENILDA LANCASTRE MEDEIROS	2008-10-02	F	INAUE PEIXOTO LANCASTRE
ID_L_002458	TARIQUE BARBOSA CALDEIRA	2018-12-20	M	CLEBES CARVALHO BARBOSA
ID_noise_000878	NIVALDIR ILHA	1907-10-15	M	VADENICE NOVAIS ILHA
ID_noise_000529	ODEON BELEM MENEZES	1986-07-17	M	JEANETI SILVA BELEM
ID_noise_000442	VINILTON ALVES MAIA	1918-10-28	M	PATRIZIA SUBTIL ALVES
ID_L_003617	EDEMILSO MEIRELES PADILHA	1908-10-01	M	DEVANIR CAMILO MEIRELES
ID_noise_000053	ANGEVAL GENTIL BELCHIOR	2000-07-06	M	JOMARIA SOARES GENTIL
ID_noise_000596	JOSENOR SALGADO XIMENES	1912-12-17	M	SIGRID SALGADO SALGADO
ID_noise_000457	ANIZELINA BAPTISTA CARVALHO	2002-03-27	F	TAMINI CONCEICAO BAPTISTA
ID_L_000975	ELIFRAN VARELA GOMES	1997-10-19	M	MARIUDES TRINDADE VARELA
ID_L_007313	CLOMIR SOUSA BRITES	1985-03-02	M	VANIER OLIVEIRA SOUSA
ID_noise_000243	IANDRE DA ROSA CAMACHO	2017-08-12	M	ASHLEY SANTANA ROSA
ID_L_001233	ALDELANDIA DA COSTA MENDES ARRUDA	1989-07-06	F	AURILEIA CUNHA VIDAL MENDES
ID_noise_000073	ALCENITA AMORIM VARELA	1976-09-20	F	LINDSAY FOGACA AMORIM
ID_noise_000763	CARSON SALES CORDOBA	1999-04-07	M	GRACINEIA HERNANDES SALES
ID_L_009062	ADEMARIO TAVARES OLIVEIRA	2000-11-23	M	AIVONE PEIXOTO TAVARES
ID_noise_000831	ALVALICE QUEIROZ SOUSA	1932-09-04	F	RIVEA PACHECO QUEIROZ
ID_L_005529	ARNOLFO MOURA MONTEIRO FERREIRA	1993-02-18	M	SEONARA NOBREGA GARCIA MONTEIRO
ID_noise_000297	GEOVANEO FOGACA SOUSA	1938-10-23	M	ELIZABEH FOGACA
ID_L_004265	ROSSIVAL LIMA ESTEVES	2004-04-18	M	NOEDI SOUSA LIMA
ID_L_007602	ALVINEI ARAGAO PEIXOTO ALMADA	1957-09-15	M	ELIZENI DOS REIS RODRIGUES PEIXOTO
ID_L_004895	LAMARTINI NEVES SILVA	2019-03-20	M	CHAWA SOUSA NEVES
ID_L_006657	LEIDIJANE SANCHES OLIVEIRA ESCOBAR	1907-05-16	F	GEANEA LIMA PINTO OLIVEIRA
ID_L_002108	RIJKAARD SOUSA CAETANO	1921-02-05	M	VALDERLUCIA NOVAIS SOUSA
ID_L_008416	FRIDEBERTO CAPELO DA MOTA	1973-02-03	M	JOSANIRA DA CONCEICAO CAPELO
ID_L_002314	LOUISIANA OLIVEIRA SILVA	1964-01-16	F	DEUSELITE SILVA OLIVEIRA
ID_L_009225	CAETANA GERALDES GOMES	1980-09-07	F	SANDERLENE SAUSA GERALDES
ID_L_009096	SINGLAIR NOGUEIRA SOUZA	1904-04-19	F	ANAUANA NASCIMENTO NOGUEIRA
ID_noise_000387	GALVINO DAMASIO MENEZES	1906-10-26	M	JUSSELINA CALIXTO DAMASIO
ID_noise_000849	PETRONEO CRESPO BARROS	1909-01-20	M	DINALICE FOGACA CRESPO
ID_noise_000893	ROSELINI SOUSA TELES	1909-08-08	F	LAURICIA ARAUJO SOUSA
ID_L_005088	IARINA FIGUEIROA SOUSA	1928-06-13	F	MONIZA VIEIRA FIGUEIROA
ID_L_008976	TARDELLI RIBEIRO VASQUES JORDAO	1994-03-14	M	ADINARA VEIGA GERALDES VASQUES
ID_L_007011	DAIRA SILVA FARIAS	2001-04-02	F	TARYN ZAGALO SILVA
ID_noise_000148	SILMONE PEIXOTO DOS REIS	2011-01-02	F	ENILCE FERRARI PEIXOTO
ID_L_007128	ROSIDEIA VARELA GUIMARAES FLORES	1900-07-14	F	TAIRINI CRESPO GOMES GUIMARAES
ID_noise_000925	DORIVALDA SOUSA PAIVA	1962-11-27	F	IRISLEIDE SALES SOUSA
ID_noise_000722	SUENEN ESPINOSA BELEM	1932-09-16	F	IRAILCE BRITO ESPINOSA
ID_noise_000264	EDIDACIO PERES MEDEIROS CARDOSO	1959-08-23	M	ZELICIA GOULART FURTADO MEDEIROS
ID_L_007552	BISMARQUE SOUZA	1996-11-05	M	BRAIANE MONTEIRO VARELA
ID_noise_000527	LEDICE VARELA NEVES	1930-11-12	F	JOSSIELE MONTEIRO VARELA
ID_noise_000834	MERITON SALGADO PILAR	1997-11-02	M	EDCLECIA LOPES SALGADO
ID_noise_000914	UANDER ZAGANELLI LACERDA MOREIRA	2007-05-08	M	IRENILCE ARAUJO MAIA LACERDA
