id	name	brth_date	sex	mother_name
ID_007077	TERSO PILAR ZANETTE	1916-04-08	M	EDNAURA FOGACA PILAR
ID_001503	BONIFACIA OLIVEIRA ALBUQUERQUE	1987-06-21	F	ROSICLESIA GUTERRES OLIVEIRA
ID_001296	ERIVALDO ESTEVES PACHECO	1967-02-13	M	EDNES BRITES ESTEVES
ID_008567	ONEIAS BARRETO MESQUITA	1949-04-20	M	ROSECLAIR PEREIRA BARRETO
ID_005505	FRANQUIMAR VARGAS SOUSA	2004-04-05	M	NEILA BARBOSA VARGAS
ID_001002	IZETI SILVA CORDOBA	2007-11-01	F	CHARLIA CASTRO SILVA
ID_002108	RIJKAARD SOUSA CAETANO	1921-02-05	M	VALDERLUCIA NOVAIS SOUSA
ID_006272	VALDICLEIDE MEIRELES BARROS	1944-08-17	F	WALDIVIA PEREIRA MEIRELES
ID_005579	ALGIMIRO MARTINS VIDAL PORTO	1944-05-15	M	GLAZIELLY HERNANDES MORGADO VIDAL
ID_005315	ROSILEIDE RAMIRES DA LUZ	1959-05-14	F	LAURILANE OLIVEIRA RAMIRES
ID_007009	URIA RODRIGUES MOURA	1916-04-01	M	ELIMARA GODINHO RODRIGUES
ID_008505	CLEUDI NOBREGA PARIS	1944-05-10	F	GENIVETE ANDRADE NOBREGA
ID_000593	ZENE AGUIAR MENEZES	1908-02-03	F	RICALINE CAETANO AGUIAR
ID_006482	JORNEI GOUVEIA MARQUES	1937-10-20	M	AQUINOA SOUSA GOUVEIA
ID_004707	URSULINA BRITES NOBREGA	1986-07-12	F	MILVA VELOSO BRITES
ID_009131	LERIVALDO SOUZA CALDEIRA	1949-09-05	M	IDERLAINE SOUZA SOUZA
ID_006776	GILDECIA MACHADO ESPINOSA	1913-01-08	F	ANIRAN SUBTIL MACHADO
ID_004084	ATHUR ESPINOSA RODRIGUES	1900-05-25	M	NERCIDIA SOUSA ESPINOSA
ID_005523	CLERENICE DA MOTA PARIS	1970-07-24	F	UCILENE MALDONADO DA MOTA
ID_008858	AUDEANE PADILHA VIDAL	1949-08-05	F	VERAILZA MOREIRA PADILHA
ID_007068	ERVERSON GOULART NOVAES BONFIM	2008-03-06	M	LOHANY RAMOS ALVES NOVAES
ID_007983	LUCENIA ESTEVES SOUZA	1936-03-08	F	ANAUE ALEGRIA ESTEVES
ID_008295	WERLANDIA SOUZA MENDES PERALTA	2019-12-03	F	AURISLENE ARAUJO BARRETO MENDES
ID_004985	GREISO FIGUEIROA RAMIRES	1906-04-26	M	CINELANDIA SILVA FIGUEIROA
ID_009384	ARTIGAS ARAUJO SOUZA	1992-09-12	M	LINDIVALDA PINHEIRO ARAUJO
ID_004582	JOIVAN ALVES EVANGELISTA	1991-12-27	M	GRAZZIELA PIRES ALVES
ID_002023	CLADOMIR LESSA BITTENCOURT	1999-02-18	M	WANDRESSA GOMES LESSA
ID_003593	DARVIL PILAR VELOSO	1932-09-24	M	WANILCE GONCALVES PILAR
ID_004114	JATENIEL SOUSA JESUS	1978-06-16	M	ISNALIA TAVEIRA SOUSA
ID_009455	RODINERI GENTIL JESUS	1989-09-08	M	DURCINEIA DA MATA GENTIL
ID_007746	ALCIMERE DA ROCHA IBRAHIM	1995-02-06	F	JANAIA ARAGAO DA ROCHA
ID_007246	TRANQUILO DA CUNHA ALMADA	1939-10-11	M	ALBANEZA TELES DA CUNHA
ID_000743	ROMES XIMENES BELEM	1931-01-25	M	JANEMARY FLORES XIMENES
ID_004787	DANICLEIDE ARAUJO FERRARI	1968-07-18	F	EDIVINA REBELO ARAUJO
ID_009582	GEONIS BARRETO PILAR	1909-09-23	M	RENIVIA DA MATA BARRETO
ID_001186	ALCEBIAS PEREIRA VEIGA	1909-12-03	M	EDICILENE PINTO PEREIRA
ID_002020	ENILSE GOMES SANTOS	1936-03-23	F	ERICLENE GOMES GOMES
ID_007545	MISS TRINDADE	1948-05-15	F	OLINTA SILVA TRINDADE
ID_007473	JOCIVANIA LEIRIA NASCIMENTO	2015-04-06	F	EDELWEISS SOUZA LEIRIA
ID_002760	ALAISIO ESCOBAR DA ROSA	1934-03-09	M	SADILA DA LUZ ESCOBAR
ID_008426	SAMUEL FREITAS CUNHA ALVIM	2015-04-25	M	IVONILZA SILVA ANTUNES CUNHA
ID_003120	JUSSIANA GOIS IBRAHIM CAMILO	2002-06-18	F	ERLANES VIEIRA SOUZA IBRAHIM
ID_001496	KAINAN ALENCASTRO MORGADO	2009-06-18	M	CARMECI NOGUEIRA ALENCASTRO
